ESTU_CONSECUTIVO,ESTU_GRADO,COLE_NOM_ESTABLECIMIENTO,COLE_COD_ICFES,COLE_CALENDARIO,COLE_COD_MCPIO,COLE_NOM_MCPIO,COLE_COD_DPTO,COLE_NOM_DPTO,EXA_N_RTAS_CORR_CN,EXA_N_RTAS_CORR_CC,EXA_N_RTAS_CORR_LC,EXA_N_RTAS_CORR_MT,EXA_C_RTAS_CORR_CN,EXA_C_RTAS_CORR_CC,EXA_C_RTAS_CORR_LC,EXA_C_RTAS_CORR_MT,ESTU_GENERO_F,ESTU_GENERO_M,COLE_NATURALEZA_NO,COLE_NATURALEZA_O,COLE_JORNADA_COMPLETA,COLE_JORNADA_MAÑANA,COLE_JORNADA_TARDE,COLE_JORNADA_UNICA,EXA_MODALIDAD_OFF,EXA_MODALIDAD_ON,EXA_MODALIDAD_PA,EXA_MODALIDAD_PAL
23517522,3,I.E. ESCUELA NORMAL SUPERIOR MARIA REINA,45203,A,97001,MITÚ,97,VAUPES,0,0,13,6,0,0,1,0,True,False,False,True,False,True,False,False,False,False,True,False
22819484,10,I.E. LA PRIMAVERA,48957,A,94001,INÍRIDA,94,GUAINIA,1,7,2,6,0,1,0,0,True,False,False,True,False,False,False,True,False,False,True,False
23317353,3,INSTITUCION EDUCATIVA SAGRADO CORAZON DE JESUS,13110,A,91001,LETICIA,91,AMAZONAS,0,0,10,8,0,0,1,1,False,True,False,True,False,False,True,False,False,False,True,False
23530061,3,I.E. INTERNADO EL ACEITICO,19437,A,99001,PUERTO CARREÑO,99,VICHADA,0,0,15,9,0,0,2,1,True,False,False,True,False,True,False,False,False,False,True,False
23680949,7,I.E. ESCUELA NORMAL SUPERIOR MARIA REINA,45203,A,97001,MITÚ,97,VAUPES,13,5,8,6,1,0,1,0,False,True,False,True,False,True,False,False,False,False,True,False
22980937,6,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,A,99001,PUERTO CARREÑO,99,VICHADA,5,5,11,5,0,0,1,0,True,False,False,True,True,False,False,False,False,False,True,False
22419161,6,I.E. CONCENTRACIÓN DESARROLLO RURAL,3701,A,95001,SAN JOSÉ DEL GUAVIARE,95,GUAVIARE,5,2,7,4,0,0,1,0,False,True,False,True,False,True,False,False,True,False,False,False
22585070,6,I.E.D. DE CARURU,6580,A,97001,MITÚ,97,VAUPES,5,2,8,5,0,0,1,0,False,True,False,True,False,True,False,False,True,False,False,False
23886861,3,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,63407,A,99001,PUERTO CARREÑO,99,VICHADA,0,0,6,5,0,0,0,0,True,False,False,True,True,False,False,False,False,False,True,False
23406179,3,INST. EDUCATIVA JOSE CELESTINO MUTIS,58078,A,95001,SAN JOSÉ DEL GUAVIARE,95,GUAVIARE,0,0,4,5,0,0,0,0,False,True,False,True,False,False,False,True,False,False,True,False
22780639,7,I.E. CUSTODIO GARCIA ROVIRA,29700,A,94001,INÍRIDA,94,GUAINIA,8,9,8,1,1,1,1,0,True,False,False,True,False,True,False,False,False,False,True,False
22420865,6,I.E. MANUELA BELTRAN,3708,A,95001,SAN JOSÉ DEL GUAVIARE,95,GUAVIARE,4,5,6,6,0,0,0,0,False,True,False,True,False,True,False,False,False,True,False,False
22891805,7,I.E. FRANCISCO DEL ROSARIO VELA,19514,A,91001,LETICIA,91,AMAZONAS,9,6,13,11,1,0,1,1,False,True,False,True,False,True,False,False,False,False,True,False
23260628,3,I.E. EL EDEN,29785,A,95001,SAN JOSÉ DEL GUAVIARE,95,GUAVIARE,0,0,5,10,0,0,0,1,True,False,False,True,False,True,False,False,False,False,True,False
22420565,9,I.E. MANUELA BELTRAN,3708,A,95001,SAN JOSÉ DEL GUAVIARE,95,GUAVIARE,11,8,14,6,1,1,2,0,False,True,False,True,False,True,False,False,False,True,False,False
22924948,6,I.E. COLEGIO TECNICO AGROPECUARIO JOSE CELESTINO MUTIS,13123,A,91540,PUERTO NARIÑO,91,AMAZONAS,6,2,3,2,0,0,0,0,True,False,False,True,False,True,False,False,False,False,True,False
21784054,5,INSTITUCION EDUCATIVA SANTANDER,16672,A,95001,SAN JOSÉ DEL GUAVIARE,95,GUAVIARE,4,5,12,5,0,0,1,0,False,True,False,True,False,True,False,False,False,True,False,False
22890246,4,I.E. ESCUELA NORMAL SUPERIOR MARCELIANO EDUARDO CANYES SANTACANA,19506,A,91001,LETICIA,91,AMAZONAS,0,0,17,12,0,0,2,1,False,True,False,True,False,True,False,False,False,False,True,False
22861542,4,I.E. ESCUELA NORMAL SUPERIOR MARCELIANO EDUARDO CANYES SANTACANA,19507,A,91001,LETICIA,91,AMAZONAS,0,0,7,8,0,0,1,1,True,False,False,True,False,False,True,False,False,False,True,False
23561144,3,I.E. ANTONIA SANTOS,52027,A,99001,PUERTO CARREÑO,99,VICHADA,0,0,7,15,0,0,1,2,True,False,False,True,False,True,False,False,False,False,True,False
22265135,4,I.E. CONCENTRACIÓN DESARROLLO RURAL,3701,A,95001,SAN JOSÉ DEL GUAVIARE,95,GUAVIARE,0,0,8,9,0,0,1,1,True,False,False,True,False,True,False,False,False,False,True,False
23002195,7,COLEGIO  ADVENTISTA,49075,A,95001,SAN JOSÉ DEL GUAVIARE,95,GUAVIARE,0,0,12,7,0,0,1,1,False,True,True,False,False,True,False,False,False,True,False,False
22514016,9,I.E.I. JOSE EUSTASIO RIVERA,13009,A,97001,MITÚ,97,VAUPES,6,10,17,8,0,1,2,1,True,False,False,True,False,True,False,False,True,False,False,False
22135255,11,I.E. INTERNADO SILVINO CARO HEREDIA,32369,A,99773,CUMARIBO,99,VICHADA,13,0,9,7,1,0,1,1,True,False,False,True,False,True,False,False,False,False,True,False
21994067,11,I.E. SOLMERIDA BUILES,13029,A,99524,LA PRIMAVERA,99,VICHADA,13,9,9,9,1,1,1,1,True,False,False,True,False,True,False,False,True,False,False,False
22889037,10,I.E. ESCUELA NORMAL SUPERIOR MARCELIANO EDUARDO CANYES SANTACANA,19502,A,91001,LETICIA,91,AMAZONAS,7,7,5,3,1,1,0,0,True,False,False,True,False,True,False,False,False,False,True,False
23742532,8,I.E. LA PRIMAVERA,48957,A,94001,INÍRIDA,94,GUAINIA,6,4,6,6,0,0,0,0,False,True,False,True,False,False,False,True,False,False,True,False
846278,10,I.E. LA LIBERTAD,36068,A,95025,EL RETORNO,95,GUAVIARE,4,4,5,4,0,0,0,0,False,True,False,True,False,True,False,False,False,False,True,False
23717106,4,INSTITUCION EDUCATIVA SANTANDER,16673,A,95001,SAN JOSÉ DEL GUAVIARE,95,GUAVIARE,0,0,6,4,0,0,0,0,False,True,False,True,False,True,False,False,False,True,False,False
23273739,8,I.E. SAGRADO CORAZON DE JESUS,45269,A,99773,CUMARIBO,99,VICHADA,0,0,15,0,0,0,2,0,False,True,False,True,False,True,False,False,False,False,True,False
22415574,8,I.E. MANUELA BELTRAN,3708,A,95001,SAN JOSÉ DEL GUAVIARE,95,GUAVIARE,4,5,6,8,0,0,0,1,False,True,False,True,False,True,False,False,False,True,False,False
